Bandit,Reward,Algorithm
1.0,1.183857339365796,EpsilonGreedy
1.0,2.1981162716586233,EpsilonGreedy
2.0,2.1549367446573346,EpsilonGreedy
2.0,3.5738550393086217,EpsilonGreedy
0.0,2.098778633536483,EpsilonGreedy
2.0,2.953327357921892,EpsilonGreedy
2.0,3.07944574173353,EpsilonGreedy
2.0,2.710516105581904,EpsilonGreedy
2.0,2.0192415215902977,EpsilonGreedy
2.0,3.72343894914772,EpsilonGreedy
2.0,1.9458599480241263,EpsilonGreedy
2.0,1.6546097848983414,EpsilonGreedy
2.0,2.1526531288849906,EpsilonGreedy
2.0,4.577497502193857,EpsilonGreedy
2.0,2.0339444556226325,EpsilonGreedy
2.0,1.9605269168533332,EpsilonGreedy
2.0,3.5035429313978845,EpsilonGreedy
2.0,2.638575424275657,EpsilonGreedy
2.0,3.1703771173272415,EpsilonGreedy
2.0,3.440565949962866,EpsilonGreedy
2.0,4.245880338396384,EpsilonGreedy
2.0,2.9384718887174452,EpsilonGreedy
2.0,3.986317408993743,EpsilonGreedy
2.0,2.839684682239274,EpsilonGreedy
2.0,2.803886745928176,EpsilonGreedy
2.0,2.0143320740556,EpsilonGreedy
2.0,3.79242587188851,EpsilonGreedy
2.0,3.6558377978774437,EpsilonGreedy
2.0,1.624519106557081,EpsilonGreedy
2.0,1.9414714144619334,EpsilonGreedy
2.0,2.546143895935929,EpsilonGreedy
2.0,2.8768875186575884,EpsilonGreedy
2.0,1.172158352558724,EpsilonGreedy
2.0,3.320397431553044,EpsilonGreedy
2.0,3.886111900235002,EpsilonGreedy
2.0,4.512292004306843,EpsilonGreedy
2.0,3.8159658674241594,EpsilonGreedy
2.0,2.608380000706452,EpsilonGreedy
2.0,0.5475697477636783,EpsilonGreedy
2.0,1.9730436147567636,EpsilonGreedy
2.0,3.3398901796291343,EpsilonGreedy
2.0,3.482627598698854,EpsilonGreedy
2.0,4.9814521425789975,EpsilonGreedy
2.0,2.551103921854806,EpsilonGreedy
2.0,4.158867948020025,EpsilonGreedy
2.0,1.61607330757032,EpsilonGreedy
2.0,3.5694355066531727,EpsilonGreedy
2.0,3.5469464801596167,EpsilonGreedy
2.0,5.008812872290029,EpsilonGreedy
2.0,4.876710447272035,EpsilonGreedy
2.0,1.093383646658634,EpsilonGreedy
2.0,3.4064778481191476,EpsilonGreedy
2.0,3.0479311431352953,EpsilonGreedy
2.0,3.235414040238835,EpsilonGreedy
2.0,5.714045777548909,EpsilonGreedy
2.0,3.113930918235347,EpsilonGreedy
2.0,3.628828157492754,EpsilonGreedy
2.0,2.709657145136411,EpsilonGreedy
2.0,5.194955157620576,EpsilonGreedy
2.0,2.3236666071751593,EpsilonGreedy
2.0,2.7644685497256165,EpsilonGreedy
2.0,2.026587512033104,EpsilonGreedy
2.0,2.9149027114516177,EpsilonGreedy
2.0,0.5731848886006876,EpsilonGreedy
2.0,2.8039374953195138,EpsilonGreedy
2.0,4.686622716622748,EpsilonGreedy
2.0,2.8549336324875916,EpsilonGreedy
2.0,3.84559436473974,EpsilonGreedy
2.0,3.7249868181289605,EpsilonGreedy
2.0,3.0355524218391015,EpsilonGreedy
2.0,1.8731497928632235,EpsilonGreedy
2.0,1.5434836342003817,EpsilonGreedy
2.0,3.0640897454247824,EpsilonGreedy
2.0,2.1689947137040453,EpsilonGreedy
2.0,1.4422638035220285,EpsilonGreedy
2.0,1.951956303026589,EpsilonGreedy
2.0,3.8219623523992308,EpsilonGreedy
2.0,2.607449668788065,EpsilonGreedy
2.0,2.3916797213918475,EpsilonGreedy
2.0,2.4175687936801475,EpsilonGreedy
2.0,3.30688766412953,EpsilonGreedy
2.0,2.1975323419833326,EpsilonGreedy
2.0,2.2878067074270634,EpsilonGreedy
2.0,4.514220569011185,EpsilonGreedy
2.0,3.207475930664011,EpsilonGreedy
2.0,3.518505902051337,EpsilonGreedy
2.0,3.5851542385481254,EpsilonGreedy
2.0,2.814022641205419,EpsilonGreedy
2.0,3.0523415253085537,EpsilonGreedy
2.0,4.923468723429567,EpsilonGreedy
2.0,3.3314244314404298,EpsilonGreedy
2.0,5.369815731874529,EpsilonGreedy
2.0,3.034598111799644,EpsilonGreedy
2.0,1.866728631339553,EpsilonGreedy
2.0,2.7033164871253623,EpsilonGreedy
