Bandit,Reward,Algorithm
2.0,2.8355708578732846,ThompsonSampling
2.0,2.8359308898900433,ThompsonSampling
2.0,2.7043668577200517,ThompsonSampling
2.0,3.930745423319171,ThompsonSampling
2.0,3.885257616309214,ThompsonSampling
2.0,1.7808056595113915,ThompsonSampling
2.0,2.181562851126417,ThompsonSampling
1.0,2.249618980592217,ThompsonSampling
2.0,1.7460289921307444,ThompsonSampling
2.0,3.2335175069018263,ThompsonSampling
2.0,3.0907237925673177,ThompsonSampling
2.0,3.638314146933976,ThompsonSampling
2.0,1.9236539934600805,ThompsonSampling
2.0,3.0727307525915597,ThompsonSampling
2.0,3.158915639645071,ThompsonSampling
2.0,2.8541169075766177,ThompsonSampling
2.0,2.5237606601222877,ThompsonSampling
2.0,3.0326709685153874,ThompsonSampling
2.0,2.6473582999117835,ThompsonSampling
2.0,3.2444674398831514,ThompsonSampling
2.0,1.7083471061027635,ThompsonSampling
2.0,4.3424223389884,ThompsonSampling
2.0,5.200881876931168,ThompsonSampling
2.0,3.003676572123139,ThompsonSampling
2.0,2.356632773785597,ThompsonSampling
2.0,3.518882987766146,ThompsonSampling
2.0,3.5570927252015574,ThompsonSampling
2.0,2.6394709424127223,ThompsonSampling
2.0,2.7848212129225356,ThompsonSampling
2.0,3.298106128776241,ThompsonSampling
2.0,2.8194666470438503,ThompsonSampling
2.0,2.046403425312585,ThompsonSampling
2.0,3.2160264173335027,ThompsonSampling
2.0,2.656780190768025,ThompsonSampling
2.0,3.141573959924048,ThompsonSampling
2.0,3.5442230605532448,ThompsonSampling
2.0,4.2518539095936365,ThompsonSampling
2.0,3.3438338545446102,ThompsonSampling
2.0,2.941928744917079,ThompsonSampling
2.0,4.022766499787399,ThompsonSampling
2.0,3.445427565329782,ThompsonSampling
2.0,4.252452065786086,ThompsonSampling
2.0,3.3538069109873367,ThompsonSampling
2.0,2.0893306729274643,ThompsonSampling
2.0,3.944945188586371,ThompsonSampling
2.0,2.1663727518923044,ThompsonSampling
2.0,2.2832482255170916,ThompsonSampling
2.0,3.7257878498517027,ThompsonSampling
2.0,1.8709584896597526,ThompsonSampling
2.0,3.310871899565391,ThompsonSampling
2.0,2.083847631470787,ThompsonSampling
2.0,2.765076020878448,ThompsonSampling
